entity_id,state,last_changed
sensor.cez_pnd_consumption_power_history,0.21,2025-12-28T23:15:00.000Z
sensor.cez_pnd_consumption_power_history,0.202,2025-12-28T23:30:00.000Z
sensor.cez_pnd_consumption_power_history,1.094,2025-12-28T23:45:00.000Z
sensor.cez_pnd_consumption_power_history,0.951,2025-12-29T00:00:00.000Z
sensor.cez_pnd_consumption_power_history,0.981,2025-12-29T00:15:00.000Z
sensor.cez_pnd_consumption_power_history,0.993,2025-12-29T00:30:00.000Z
sensor.cez_pnd_consumption_power_history,0.966,2025-12-29T00:45:00.000Z
sensor.cez_pnd_consumption_power_history,0.168,2025-12-29T01:00:00.000Z
sensor.cez_pnd_consumption_power_history,0.175,2025-12-29T01:15:00.000Z
sensor.cez_pnd_consumption_power_history,0.201,2025-12-29T01:30:00.000Z
sensor.cez_pnd_consumption_power_history,1.182,2025-12-29T01:45:00.000Z
sensor.cez_pnd_consumption_power_history,0.948,2025-12-29T02:00:00.000Z
sensor.cez_pnd_consumption_power_history,0.939,2025-12-29T02:15:00.000Z
sensor.cez_pnd_consumption_power_history,0.963,2025-12-29T02:30:00.000Z
sensor.cez_pnd_consumption_power_history,1.01,2025-12-29T02:45:00.000Z
sensor.cez_pnd_consumption_power_history,1.326,2025-12-29T03:00:00.000Z
sensor.cez_pnd_consumption_power_history,0.951,2025-12-29T03:15:00.000Z
sensor.cez_pnd_consumption_power_history,0.959,2025-12-29T03:30:00.000Z
sensor.cez_pnd_consumption_power_history,,2025-12-29T10:53:07.939Z
sensor.cez_pnd_consumption_power_history,unknown,2025-12-29T11:18:54.611Z
